"study_ID","measured_response_variable","measured_response_comments","reported_units"
"428_h","beta diversity","Intermediate Grain size (see comments)","Modified Gower distance, usng a log base of 2"
"428_i","alpha diversity","Large Grain size (see comments)","species richness"
"428_j","alpha diversity","Large Grain size (see comments)","Gini_Simpson index"
"428_k","beta diversity","Large Grain size (see comments)","Jaccard dissimilarity"
"428_l","beta diversity","Large Grain size (see comments)","Modified Gower distance, using a log base of 2"
"428_m","soil pH","Small Grain size (see comments)","degree"
"428_n","soil C","Small Grain size (see comments)","%"
"428_o","soil N","Small Grain size (see comments)","%"
"428_p","soil C:N ratio","Small Grain size (see comments)","ratio"
"428_q","soil pH","Intermediate Grain size (see comments)","degree"
"428_r","soil C","Intermediate Grain size (see comments)","%"
"428_s","soil N","Intermediate Grain size (see comments)","%"
"428_t","soil C:N ratio","Intermediate Grain size (see comments)","ratio"
"428_u","dec. woody biomass","Intermediate Grain size (see comments)","grams per sqm"
"428_v","ever. woody biomass","Intermediate Grain size (see comments)","grams per sqm"
"428_w","forbs biomass","Intermediate Grain size (see comments)","grams per sqm"
"428_x","grasses biomass","Intermediate Grain size (see comments)","grams per sqm"
"428_y","sedges/rushes biomass","Intermediate Grain size (see comments)","grams per sqm"
"428_z","Betula and Salix thickets biomass","Intermediate Grain size (see comments)","grams per sqm"
"436_a","Aboveground phytomass of Dupontia fisheri",NA,"g m-2"
"436_b","Aboveground phytomass of Eriophorum scheuchzeri",NA,"g m-2"
"436_c","Aboveground height of Dupontia fisheri",NA,"cm"
"436_d","Aboveground height of Eriophorum scheuchzeri",NA,"cm"
"436_e","Net above-ground primary production (NAPP) of Dupontia fisheri",NA,"g m-2"
"436_f","Net above-ground primary production (NAPP) of Eriophorum scheuchzeri",NA,"g m-2"
"436_g","Net above-ground primary production (NAPP) of Dupontia fisheri",NA,"cm"
"436_h","Net above-ground primary production (NAPP) of Eriophorum scheuchzeri",NA,"cm"
"436_i","Seasonal variation in total nonstructural carbohydrate (TNC) of belowground-parts (rhizomes and roots) of Dupontia fisheri",NA,"%"
"436_j","Seasonal variation in total nonstructural carbohydrate (TNC) of belowground-parts (rhizomes and roots) of Eriophorum scheuchzeri",NA,"%"
"451_b","Biomass of Vaccinium uliginosum","point intercept converted to g/m2 with site-specific conversion functions; tundra plots only","g m-2"
"451_c","Cover index of diseased Empetrum hermaphroditum",NA,"hits per 100 points"
"451_d","Cover index of diseased Vaccinium vitis-idaea",NA,"hits per 100 points"
"451_q","Cladina mitis Biomass",NA,"g m-2"
"451_r","Cladina mitis Biomass",NA,"g m-2"
"451_s","Cladina mitis Biomass",NA,"g m-2"
"494_a","Root length colonized by fungal hyphae in Potentilla crantzii",NA,"%"
"494_b","Root length colonized by fungal arbuscles in Potentilla crantzii",NA,"%"
"494_c","Root length colonized by fungal vesicles in Potentilla crantzii",NA,"%"
"494_d","Root length colonized by dark septate endophites in Potentilla crantzii",NA,"%"
"494_e","Root length colonized by yeast fungi in Potentilla crantzii",NA,"%"
"494_f","Root length colonized by fine endophytes in Potentilla crantzii",NA,"%"
"494_g","Root length colonized by fungal hyphae in Saussurea alpina",NA,"%"
"494_h","Root length colonized by fungal arbuscles in Saussurea alpina",NA,"%"
"494_i","Root length colonized by fungal vesicles in Saussurea alpina",NA,"%"
"494_j","Root length colonized by dark septate endophites in Saussurea alpina",NA,"%"
"494_k","Root length colonized by yeast fungi in Saussurea alpina",NA,"%"
"494_l","Relative annual change in frequency of Potentilla crantzii",NA,"%"
"494_m","Relative annual change in frequency of Saussurea alpina",NA,"%"
"494_n","Nitrogen concentration in Potentilla crantzii shoots",NA,"% in dry matter"
"494_o","Nitrogen concentration in Saussurea alpina shoots",NA,"% in dry matter"
"494_p","Phosphorus concentration in Potentilla crantzii shoots",NA,"% in dry matter"
"494_q","Phosphorus concentration in Saussurea alpina shoots",NA,"% in dry matter"
"511_s","Relative chage in abundance of Ptilidium ciliare",NA,"unitless"
"511_t","Relative chage in abundance of Ptilidium ciliare",NA,"unitless"
"511_u","Relative chage in abundance of Ptilidium ciliare",NA,"unitless"
"514_a","Number of short shoots","number of short shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_b","Number of long shoots","number of long shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_c","Dry weight/leaf","dry weight of individual leaves on short shoots","mg"
"514_d","Dry weight/leaf","dry weight of individual leaves on long shoots","mg"
"514_e","Number of catkins","number of catkins per ramet","nr catkins"
"514_f","Number of short shoots","number of short shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_g","Number of short shoots","number of short shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_h","Number of short shoots","number of short shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_i","Number of long shoots","number of long shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_j","Number of long shoots","number of long shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_k","Number of long shoots","number of long shoots per mountain birch ramet (20 ramets for each treatment)","nr shoots"
"514_l","Dry weight/leaf","dry weight of individual leaves on short shoots","mg"
"514_m","Dry weight/leaf","dry weight of individual leaves on short shoots","mg"
"514_n","Dry weight/leaf","dry weight of individual leaves on short shoots","mg"
"514_o","Dry weight/leaf","dry weight of individual leaves on long shoots","mg"
"514_p","Dry weight/leaf","dry weight of individual leaves on long shoots","mg"
"514_q","Dry weight/leaf","dry weight of individual leaves on long shoots","mg"
"514_r","Number of catkins","number of catkins per ramet","nr catkins"
"514_s","Number of catkins","number of catkins per ramet","nr catkins"
"514_t","Number of catkins","number of catkins per ramet","nr catkins"
"514_u","leaf biomass","total dry mass of leaves per ramet","g"
"514_v","leaf biomass","total dry mass of leaves per ramet","g"
"514_w","leaf biomass","total dry mass of leaves per ramet","g"
"514_x","leaf biomass","total dry mass of leaves per ramet","g"
"514_y","flowering shoots","number of flowering shoots per ramet (as a measure of the intensity of flowering)","nr shoots"
"514_z","leaf biomass","leaf biomass of basal parts of the ramets (comparing basal and apical parts to see if allocation differs between parts of the plant)","g"
"514_aa","number of short shoots","number of short shoots per mountain birch ramet (20 ramets for each treatment) in the basal part of the plant","nr shoots"
"514_ab","number of long shoots","number of long shoots per mountain birch ramet (20 ramets for each treatment) in the basal part of the plant","nr shoots"
"514_ac","dry weight/leaf","dry weight of individual leaves, basal part of the ramet, short shoots","mg"
"514_ad","dry weight/leaf","dry weight of individual leaves, basal part of the ramet, long shoots","mg"
"514_ae","leaf biomass","leaf biomass of apical parts of the ramets (comparing basal and apical parts to see if allocation differs between parts of the plant)","g"
"514_af","number of short shoots","number of short shoots per mountain birch ramet (19 ramets for each treatment) in the apical part of the plant","nr shoots"
"514_ag","number of long shoots","number of long shoots per mountain birch ramet (19 ramets for each treatment) in the apical part of the plant","nr shoots"
"514_ah","dry weight/leaf","dry weight of individual leaves, apical part of the ramet, short shoots","mg"
"514_ai","dry weight/leaf","dry weight of individual leaves, apical part of the ramet, long shoots","mg"
"527_b","Total abundance of plants in dry meadow (1985)","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_d","Total abundance of plants in lichen heath (1985)","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_f","Total abundance of plants in snowbed (1985)","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_aj","Abundance of Calamagrostis purpurea in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ak","Abundance of Betula nana in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_al","Abundance of Vaccinium myrtillus in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_am","Abundance of Salix glauca in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_an","Abundance of Carex vaginata in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ao","Abundance of Trollius eurapaeus in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ap","Abundance of Solidago virgaurea in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_aq","Abundance of Empetrum hermaphroditum in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ar","Abundance of Viola biflora in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_as","Abundance of Hylocomium splendens a in dry meadow","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_at","Abundance of Vaccinium vitis-idaea in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_au","Abundance of Vaccinium myrtillus in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_av","Abundance of Empetrum hermaphroditum in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_aw","Abundance of Betula nana in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ax","Abundance of Hepaticae in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ay","Abundance of Polytrichum juniperinum in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_az","Abundance of Cladonia crispata in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_ba","Abundance of Cladonia uncialis in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bb","Abundance of Nephroma arcticum in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bc","Abundance of Cladonia nigripes in lichen heath","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bd","Abundance of Carex lachenalii in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_be","Abundance of Carex bigelowii in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bf","Abundance of Salix herbacea in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bg","Abundance of Polygonum viviparum in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bh","Abundance of Sibbaldia procumbens in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bi","Abundance of Hepaticae in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bj","Abundance of Cladonia uncialis in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bk","Abundance of Cladonia nigripes in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"527_bl","Abundance of Nephroma arcticum in snowbed","The abundance score of each plant was computed as the number of squares out of 250 where it was recorded divided by 2.5 to convert the score to a scale from 0-100.","%"
"534_a","Change in plant species richness",NA,"Species number"
"534_b","Number of plant species gained",NA,"Species number"
"534_c","Number of plant species lost",NA,"Species number"
"534_d","Number of gained bryophyte species",NA,"Species number"
"534_e","Number of gained vascular plant species",NA,"Species number"
"534_f","Number of lost bryophyte species",NA,"Species number"
"534_g","Number of lost vascular plant species",NA,"Species number"
"535_a","Plots in which Achillea millefolia was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_b","Plots in which Alchemilla spp was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_c","Plots in which Betula pubescens was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_d","Plots in which Campanula rodunfidolia was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_e","Plots in which Carex brunnescens was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_f","Plots in which Carex juncella was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_g","Plots in which Carex vaginata was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_h","Plots in which Cerastum fontanum was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_i","Plots in which Deschampsia caespitosa was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_j","Plots in which Equisetum arvense was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_k","Plots in which Equisetum pratense was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_l","Plots in which Festuca ovina was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_m","Plots in which Festuca rubra was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_n","Plots in which Juncus filiformis was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_o","Plots in which Luzula multiflora was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_p","Plots in which Poa alpigena was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_q","Plots in which Ranunculus acris was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_r","Plots in which Rubus arcticus was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_s","Plots in which Rumex acetosa was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_t","Plots in which Rumex acetosella was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_u","Plots in which Salix hastigiata was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_v","Plots in which Solidago virgaurea was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_w","Plots in which Stellaria graminea was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_x","Plots in which Veronica longifolia was detected","see the changes in the number of species with succession with and without herbivory","unitless"
"535_y","Total number of species recorded","see the changes in the number of species with succession with and without herbivory","unitless"
"535_z","Species richness",NA,"unitless"
"535_aa","Height of birches",NA,"cm"
"535_ab","Number of seedlings of birches",NA,"unitless"
"535_ac","Height of willows",NA,"cm"
"535_ad","Number of seedlings of willows",NA,"unitless"
"544_a","Biomass of aboveground vegetative structures","Chomped vegetation","%"
"544_b","Biomass of belowground structures","chomped vegetation","%"
"544_c","Biomass of new reproductive structures","chomped vegetation","%"
"544_d","Biomass of old reproductive structures","chomped vegetation","%"
"544_e","Mortality of chomped plants",NA,"%"
"544_f","Mean plant diameter","Chomped plants","cm"
"544_g","Mean plant diameter","Nibbled plants","cm"
"544_h","Index of diameter change","Chomped plants","unitless"
"544_i","Index of diameter change","Nibbled plants","unitless"
"544_j","Shoot tip number per plant","Chomped plants","cm"
"544_k","Shoot tip number per plant","Nibbled plants","cm"
"544_l","Index of shoot number change","Chomped plants","cm"
"544_m","Index of shoot number change","Nibbled plants","cm"
"544_n","Flowering","Chomped plants","%"
"544_o","Flowering","Nibbled plants","%"
"544_p","Number of inflorescences per plant","Chomped plants","unitless"
"544_q","Number of inflorescences per plant","Chomped plants","unitless"
"544_r","Pod stalks per plant","Chomped plants","unitless"
"544_s","Pod stalks per plant","Chomped plants","unitless"
"544_t","Pods per plant","Chomped plants","unitless"
"544_u","Pods per plant","Chomped plants","unitless"
"590_a","Eriophorum vaginatum total growing season shoot production (year of simulated graze)","Control vs moderate clipping","g/25cm2"
"590_b","Eriophorum vaginatum total growing season shoot production (year of simulated graze)","Control vs intense clipping","g/25cm2"
"590_c","Eriophorum vaginatum total growing season shoot production (year following simulated graze)","Control vs moderate clipping","g/25cm2"
"590_d","Eriophorum vaginatum total growing season shoot production (year following simulated graze)","Control vs intense clipping","g/25cm2"
"590_e","Eriophorum vaginatum shoot N concentration (year of simulated graze)","Control vs moderate clipping","% d.w."
"590_f","Eriophorum vaginatum shoot N concentration (year of simulated graze)","Control vs intense clipping","% d.w."
"590_g","Eriophorum vaginatum shoot N concentration (year following simulated graze)","Control vs moderate clipping","% d.w."
"590_h","Eriophorum vaginatum shoot N concentration (year following simulated graze)","Control vs intense clipping","% d.w."
"590_i","Eriophorum vaginatum total season's N pools (year of simulated graze)","Control vs moderate clipping","g N/25 cm2"
"590_j","Eriophorum vaginatum total season's N pools (year of simulated graze)","Control vs intense clipping","g N/25 cm2"
"590_k","Eriophorum vaginatum total season's N pools (year following simulated graze)","Control vs moderate clipping","g N/25 cm2"
"590_l","Eriophorum vaginatum total season's N pools (year following simulated graze)","Control vs intense clipping","g N/25 cm2"
"595_a","Birch abundance","mean pin intercepts per plot (0.25 cm2 frame, 20 points)","pin intercepts per plot"
"595_b","Willow abundance","mean pin intercepts per plot (0.25 cm2 frame, 20 points)","pin intercepts per plot"
"621_a","Lichen cover",NA,"%"
"621_b","Overall mean biomass",NA,"g m-2"
"621_c","Litter cover",NA,"%"
"621_d","woody plants cover",NA,"%"
"621_e","Graminoids cover",NA,"%"
"621_f","Bryophytes cover",NA,"%"
"623_a","Relative shrub cover",NA,"unitless"
"623_b","Relative shrub cover",NA,"unitless"
"623_c","Relative graminoid cover",NA,"unitless"
"623_d","Relative graminoid cover",NA,"unitless"
"623_e","Relative forbs cover",NA,"unitless"
"623_f","Relative forbs cover",NA,"unitless"
"623_g","Relative bryohphytes cover",NA,"unitless"
"623_h","Relative bryohphytes cover",NA,"unitless"
"623_i","Relative lichens cover",NA,"unitless"
"623_j","Relative lichens cover",NA,"unitless"
"627_a","Reduction in flowering frequency of all flowering species - wet plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_b","Reduction in flowering frequency of Dupontia fisheri - wet plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_c","Reduction in flowering frequency of Eriophorum scheuchzeri - wet plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_d","Reduction in flowering frequency of Saxifraga cernua - wet plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_e","Reduction in flowering frequency of Saxifraga foliolosa - wet plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_f","Reduction in flowering frequency of all flowering species - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_g","Reduction in flowering frequency of Alopecurus borealis - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_h","Reduction in flowering frequency of Salix polaris - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_i","Reduction in flowering frequency of Pedicularis lanata subsp. dayantha - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_j","Reduction in flowering frequency of Bistorta vivipara - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_k","Reduction in flowering frequency of Stellaria longipes - mesic plots","Reporting high intensity grazing only vs no grazing","not reported but probably %"
"627_m","Frequency of occurrence of Poa arctica","Mean number of plant species","Number"
"627_n","Frequency of occurrence of Saxifraga cernua","Mean number of plant species","Number"
"627_o","Frequency of occurrence of Cardamine pratensis subsp. polemonioides","Mean number of plant species","Number"
"627_p","Frequency of occurrence of Bistorta vivipara","Mean number of plant species","Number"
"627_q","Frequency of occurrence of Cochlearia groenlandica","Mean number of plant species","Number"
"627_r","Frequency of occurrence of Equisetum arvense","Mean number of plant species","Number"
"627_s","Frequency of occurrence of Deschampsia alpina","Mean number of plant species","Number"
"627_t","Frequency of occurrence of Ranunculus hyperboreus","Mean number of plant species","Number"
"627_u","Frequency of occurrence of Saxifraga cespitosa","Mean number of plant species","Number"
"627_v","Frequency of occurrence of Poa pratensis subsp. alpigena","Mean number of plant species","Number"
"627_w","Frequency of occurrence of Poa abbreviata","Mean number of plant species","Number"
"627_x","Frequency of occurrence of Carex spp","Mean number of plant species","Number"
"627_y","Frequency of occurrence of all species","Mean number of plant species","Number"
"627_z","Frequency of flowering of Poa arctica","% of plants present of that species","%"
"627_aa","Frequency of flowering of Saxifraga cernua","% of plants present of that species","%"
"627_ab","Frequency of flowering of Cardamine pratensis subsp. polemonioides","% of plants present of that species","%"
"627_ac","Frequency of flowering of Bistorta vivipara","% of plants present of that species","%"
"627_ad","Frequency of flowering of Cochlearia groenlandica","% of plants present of that species","%"
"627_ae","Frequency of flowering of Deschampsia alpina","% of plants present of that species","%"
"627_af","Frequency of flowering of Ranunculus hyperboreus","% of plants present of that species","%"
"627_ag","Frequency of flowering of Saxifraga cespitosa","% of plants present of that species","%"
"627_ak","Frequency of flowering of all species","% of plants present of that species","%"
"627_al","Top soil layer",NA,"cm"
"627_am","Total viable seeds and other propagules in top soil layer",NA,"Density (number of germinable seeds/dm3)"
"627_an","Total viable seeds and other propagules in bottom soil layer",NA,"Density (number of germinable seeds/dm3)"
"628_a","Graminoid's tiller density",NA,"tillers m-2"
"628_c","Graminoid's net aboveground primary production",NA,"g m-2"
"628_d","Moss' primary production",NA,"g m-2"
"628_f","Graminoid's total N concentration",NA,"%"
"628_g","Moss' total N concentration",NA,"%"
"628_i","Graminoid's total P concentration",NA,"%"
"628_j","Moss' total P concentration",NA,"%"
"628_l","Graminoid's N/P ratio",NA,"ratio"
"628_m","Moss' N/P ratio",NA,"ratio"
"628_o","Graminoid's N content","N content in plant tissues","g m-2"
"628_p","Moss' N content","N content in moss tissues","g m-2"
"628_q","Graminoid's P content","P content in plant tissues","g m-2"
"628_r","Moss' P content","P content in moss tissues","g m-2"
"637_a","ratio of ungrazed small vs ungrazed large tillers","indicates a preference for grazing tillers based on their size","ratio"
"665_a","Bacteria biomass","values for August","nmol/g dry soil"
"665_b","biomass of saprophylic fungi","values for August","nmol/g dry soil"
"665_c","number of collembolans","values for August","ind/g dry soil"
"665_d","biomass of enchytaeids","values for August","μg/g dry soil"
"665_e","number of bacterivorous nematods","values for August","ind/g dry soil"
"665_f","number of fungivorous nematods","values for August","ind/g dry soil"
"665_g","number of ominvorous nematods","values for August","ind/g dry soil"
"665_h","Carex vaginata coverage","frequency of precense in 25 sup-plot","frequency"
"665_i","Festuca ovina coverage","frequency of precense in 25 sup-plot","frequency"
"665_j","Parnassia palustris coverage","frequency of precense in 25 sup-plot","frequency"
"665_k","Poa alpina coverage","frequency of precense in 25 sup-plot","frequency"
"665_l","Saussurea alpina coverage","frequency of precense in 25 sup-plot","frequency"
"665_m","Pleurozium schreberi coverage","frequency of precense in 25 sup-plot","frequency"
"665_n","Polytrichum juniperium coverage","frequency of precense in 25 sup-plot","frequency"
"722_a","Spider specimens",NA,"Number"
"722_b","Spider specimens with prey remains",NA,"Number"
"729_a","Moss thickness","Due trampling and consumption","mm"
"729_b","Soil temperature","Soil temperature was negatively correlated with moss-layer thickness across sites","°C"
"729_c","Median rooting depth of Poa arctica","depth above which 50% of root mass was found","mm"
"818_a","Aboveground biomass of Carex subspathacea",NA,"g dry weight m-2"
"818_b","Aboveground biomass of Festuca rubra",NA,"g dry weight m-2"
"818_c","Aboveground biomass of Calamagrostis deschamsioides",NA,"g dry weight m-2"
"818_d","Cumulative net aboveground primary production of Carex subspathacea",NA,"g dry weight m-2"
"818_e","Cumulative net aboveground primary production of Festuca rubra",NA,"g dry weight m-2"
"818_f","Cumulative net aboveground primary production of Calamagrostis deschamsioides",NA,"g dry weight m-2"
"818_g","Total nitrogen of Carex subspathacea","as percentage of the dry weight of aboveground biomass of the plant","%"
"818_h","Total nitrogen of Festuca rubra","as percentage of the dry weight of aboveground biomass of the plant","%"
"818_i","Total nitrogen of Calamagrostis deschamsioides","as percentage of the dry weight of aboveground biomass of the plant","%"
"829_a","Plant biomass",NA,"g m-2"
"829_b","Stem height",NA,"mm"
"829_c","Standing dead biomass",NA,"g m-2"
"829_d","Tillers",NA,"tillers m-2"
"829_e","Inflorescences",NA,"inflorescences m-2"
"841_a","Ecosystem respiration",NA,"micromol CO2 m-2 s-1"
"841_b","Net ecosystem exchange",NA,"micromol m-2 s-1"
"841_c","Gross primary productivity",NA,"micromol m-2 s-1"
"868_a","Average Leaf area index",NA,"m2 m-2"
"868_b","Average gross ecosystem photosynthesis (GEP)",NA,"micromol Co2 m-2 s-1"
"868_c","Average net ecosystem exchange (NEE)",NA,"micromol Co2 m-2 s-1"
"868_d","Average ecosystem respiration (ER)",NA,"micromol Co2 m-2 s-1"
"868_e","Soil temperature at 5 cm",NA,"°C"
"868_f","Soil temperature at 10 cm",NA,"°C"
"868_g","Soil water content to 15 cm",NA,"%"
"886_a","Biomass Index of the plant community","20 pins per plot (0.25 m2), multiple pins per plot --> measure of abundance","mean number of pin hits per 0.25 m2"
"886_b","Biomass Index of decidious shrubs","20 pins per plot (0.25 m2), multiple pins per plot --> measure of abundance","mean number of pin hits per 0.25 m2"
"886_e","Biomass Index of graminoids","20 pins per plot (0.25 m2), multiple pins per plot --> measure of abundance","mean number of pin hits per 0.25 m2"
"886_f","Biomass Index of forbs","20 pins per plot (0.25 m2), multiple pins per plot --> measure of abundance","mean number of pin hits per 0.25 m2"
"893_a","Dry biomass of vascular plants",NA,"g m-2"
"893_b","Dry biomass of mosses",NA,"g m-2"
"893_c","Dry biomass of Salicaceae woody parts",NA,"g m-2"
"893_d","Dry biomass of Salicaceae leaves",NA,"g m-2"
"893_e","Dry biomass of Poaceae",NA,"g m-2"
"893_f","Dry biomass of Juncaceae",NA,"g m-2"
"893_g","Dry biomass of Caryophyllaceae",NA,"g m-2"
"893_h","Dry biomass of Polygonaceae",NA,"g m-2"
"893_i","Dry biomass of aulacomnium",NA,"g m-2"
"893_j","Dry biomass of polytrichum",NA,"g m-2"
"906_g","Tiller density of Carex aquatilis ssp. stans","density of tillers per plot (50 x 50 cm)","nr tillers / plot"
"906_h","Biomass of Carex aquatilis ssp. stans","aboveground biomass of each species per plot (50x50 cm)","mg / plot"
"906_i","Tiller density of Carex membranacea","density of tillers per plot (50 x 50 cm)","nr tillers / plot"
"906_j","Biomass of Carex membranacea","aboveground biomass of each species per plot (50x50 cm)","mg / plot"
"906_k","Tiller density of Eriophorum angustifolium ssp. triste","density of tillers per plot (50 x 50 cm)","nr tillers / plot"
"906_l","Biomass of Eriophorum angustifolium ssp. triste","aboveground biomass of each species per plot (50x50 cm)","mg / plot"
"906_m","Flower height of C. stans",NA,"mm"
"906_n","Flower height of C. membranacea",NA,"mm"
"906_o","Flower height of E. triste",NA,"mm"
"906_p","Leave length of C. stans",NA,"mm"
"906_q","Leave length of C. membranacea",NA,"mm"
"906_r","Leave length of E. triste",NA,"mm"
"906_s","Rhizome length of C. stans",NA,"mm"
"906_t","Rhizome length of C. membranacea",NA,"mm"
"906_v","Tiller weight of C. stans",NA,"g"
"906_w","Tiller weight of C. membranacea",NA,"g"
"906_x","Tiller weight of E. triste",NA,"g"
"906_y","Biomass ratio of C. stans - belowground","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
"906_z","Biomass ratio of C. stans - attached dead","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
